repo,CBO_media,CBO_mediana,CBO_std,DIT_media,DIT_mediana,DIT_std,LCOM_media,LCOM_mediana,LCOM_std,LOC_total
alibaba_easyexcel,6.632142857142857,5.0,6.09058357467427,1.375,1.0,0.8344655397500914,32.025,1.0,355.6684644707237,20545
zxing_zxing,4.984873949579832,4.0,4.809303530351095,1.6722689075630253,2.0,0.78398579851984,22.968067226890756,1.0,130.85945112325018,40029
SeleniumHQ_selenium,5.876881720430108,4.0,7.174337368924842,1.4209677419354838,1.0,1.1398645338348894,32.88655913978494,1.0,291.2893109070848,88195
YunaiV_ruoyi-vue-pro,7.896478121664888,6.0,7.460881588184687,1.224119530416222,1.0,0.44191264742079966,16.288153681963713,0.0,506.3847705454933,93443
alibaba_nacos,5.70802192326856,3.0,6.752795688622438,1.2882411559541604,1.0,0.6984203069309877,23.128550074738417,0.0,312.6108537669294,185577
binarywang_WxJava,5.488106939256929,4.0,6.480483275348633,1.2134853548260272,1.0,0.4416737248792474,20.32062119127187,0.0,217.90492794396474,112951
apache_kafka,7.80570956706382,4.0,13.447742896522328,1.4323463489442019,1.0,1.0874054086605753,63.09024419016161,0.0,1084.5646582256009,675223
ityouknow_spring-boot-examples,4.710097719869707,4.0,3.102391391066059,1.0260586319218241,1.0,0.15956979484501574,4.817589576547231,0.0,16.02508093606621,4436
chinabugotech_hutool,3.5071536144578315,2.0,3.8341249038440246,1.2827560240963856,1.0,0.7548088709084669,102.20368975903614,0.0,959.9738325851132,131789
apolloconfig_apollo,7.318118948824343,6.0,6.823743848742816,1.2697095435684647,1.0,0.7104353148393202,14.774550484094053,0.0,56.76195923543358,32515
keycloak_keycloak,6.902694610778443,4.0,8.307121425402425,1.5432980193459236,1.0,1.041283058099858,73.27660064486412,3.0,993.2333348212397,513897
alibaba_canal,5.816968541468065,4.0,6.450698077494134,1.3803622497616779,1.0,0.8226490110414362,77.35653002859867,1.0,467.41293496509127,112590
xuxueli_xxl-job,4.777777777777778,3.0,5.257798440834761,1.128654970760234,1.0,0.3847809968653281,20.426900584795323,0.0,97.41994711367501,8854
